,comment
17,ஜோதிகாவின் ராட்சசி பாகம் இரண்டு வாத்தி திரைப்படம் வெற்றி பெற வாழ்த்துக்கள் 
18,கமெண்ட் ல வெற்றி பெற வாழ்த்துக்கள் னு சொல்லியே  உயிர வாங்கும் ரசிகர்கள் சார்பாக வெற்றி பெற வாழ்த்துக்கள்
19,பல் விளக்கமால் வீடியோ பார்ப்பவர்கள் சங்கம் சார்பாக படம் வெற்றி பெற வாழ்த்துகள்
20,கருத்து கேட்டு கருத்து போன புளு சட்டை ரசிகர்கள சார்பாக படம் வெற்றியடைய வாழ்த்துகள்
21,சச்சின் டெண்டுல்கரின் வருங்கால மாப்பிள்ளை கில் சார்பாக படம் வெற்றிபெற வாழ்த்துக்கள்
22,"சுய இன்பத்தை முடித்துவிட்டு இந்த வீடியோ பார்க்கும் ரசிகர்கள் சார்பாக வீடியோ வெற்றி பெற வாழ்த்துக்கள்,...."
23,வாரிசு சீர்யல் ரசிகர்கள் சார்பாய் வாழ்த்துக்கள்.
24,சார்பாக என்று சொல்லி திரியும் ரசிகர்கள் சார்பாக வாத்தி வெற்றி பெற வாழ்த்துகள் 
25,டாய்லெட் ல உக்கார்ந்து ரிவியு பார்க்கும் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்... 
26,அவர் போட்டிருக்கும் சட்டை பட்டன் சார்பாக படம் வெற்றி அடைய வாழ்த்துக்கள் 
27,கருத்து கேட்டு கருத்து போயிட்டேன்..ரசிகர்கள் சார்பாக படம் வெற்றியடைய வாழ்த்துக்கள் 
28,குளிச்சிட்டு வீடியோ பார்க்க வந்த ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
29,காம கதை எழுதிய கருணாநிதியின் பேனா ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துகள!
30,எதிர்பார்த்தது தான் 
31,பல வருடங்களாக ப்ளூ சட்டையை துவைக்காமல் போட்டிருக்கும்  மாறன் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்...
32,போன்ல சார்ஜ் இல்லையே என்று கவலைபடும் இரசிகர்கள் சார்பில் படம் வெற்றிற வாழ்த்துக்கள்
33,"அடுத்த அடுத்த சாட்டை 
முடியல "
34,"4:14 டு 4:16 , இது பஞ்ச் டயலாக்கையெல்லாம் மிஞ்சும் மாஸ் டயலாக் !"
35,"கருத்து கேட்டு கருத்தாலும்
  பவுடர் போட்டு வந்து பாக்கும் ரசிகர்கள் சார்பாக வீடியோ வெற்றி பெற வாழ்த்துக்கள்"
36,இந்த முறையாவது மோகன் ஜி இயக்கிய படத்தை விமர்சனம் செய்வாரா என்று பார்க்க வந்த ரசிகர்கள் சார்பாக வாழ்த்துகள்.
37,ஹிந்தி சீரியல் வாரிசு ரசிகர்கள் சார்பாக வாத்தி வெற்றி பெற வாழ்த்துக்கள் 
38,ஜட்டி போடாம வீடியோ பார்க்கும் சங்கம் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
39,இவர் கதைக்க கதைக்க அப்படியே மூஞ்சிலயே ஒன்டு குடுக்கனும் போல இருக்குர ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்...
40,தூங்கிக்கொண்டே வீடியோ பார்க்கும் சங்கம் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் .
41,காதலிக்க கைடு இல்ல சொல்லி தர வா வாத்தி ..சேத்து வச்ச ஆசை எல்லாம் அள்ளி தர வா வாத்தி ...என் உசுர உன் உசுரா தாரேன் கை மாத்தி ....️️
42,பாகாசூரனை ரிவியூ பன்ன பயப்படும் மாறன் ரசிகர்கள் சார்பாக வாழ்த்துகள்
43,"வாரிசு, பிரின்ஸ், தொடர்ந்து வாத்தி படமும் மிகப்பெரிய வெற்றியடைய வாழ்த்துக்கள் "
44,பஸ்ல சொந்த ஊர் செல்லும் வழியில் ரிவ்யூ பார்ப்பவர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
45,இறங்கி‌ செய்ய காத்து இருக்கும் கௌதம் மேனன் சார்பாக வாழ்த்துக்கள் 
46,"லேட்டஸ்ட் டிரெண்டிங்காக இருக்கும் வாக்கியம் "" ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் "" சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்...."
47,மிகவும் அருமை 
48,"ஓய்வு பெற்ற குஸ்தி வாத்தியார் ப்ளூ சட்டை மாறன் சார்பாக 
வாத்தி படம் வெற்றியடைய
வாழ்த்துக்கள்..."
49,விடியல் ஆட்சியில் மகிழ்ச்சியாக இருப்பவர்கள் சார்பாக படம் வெற்றிபெற வாழ்த்துக்கள்..
50,ஆசான்கள் கொண்டாடும் மாபெறும் வெற்றி
51,படம் நல்லா இருக்குது 
52,"""இவைங்க கருத்தக் கேட்டுக் கேட்டே , எப்பிடி கறுத்துப் போயிட்டேனுப் பாருங்க"" "
53,ஆன்டி இந்தியன் படம் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
54,150 செலவு பன்னி படம் பாக்குறவிட ஒரு கோட்டர் போட்டு தூங்கும் மனிதர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துகள்
55,சூத்தடி வாங்கிய வாரிசு ரசிகர்கள் வெற்றி பெற வாழ்த்துக்கள்
56,"விமர்சனம் தொடங்கி முடியும் 
வரை ஒருகையால் சொறிஞ்
சுகொண்டிருக்கும் நீலச்சட்டை
மாறன் ஜயா ஆசைப்படி படம்"
57," ""கருத்து கேட்டு கருப்பா போயிட்டேன்"" "
58,இன்னமும் வாரிசு பார்க்காத இரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் 
59,படம் பாத்துட்டு ரிவியு பார்க்க வந்த ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
60,கைல காசு இல்ல சங்கம் சார்பாக படம்  வெற்றி பட  வாழ்த்துக்கள்
61,எப்படி படம் எடுத்தாலும் ஏதாவது குறை சொல்லும் ப்ளூ சட்டை மாறன் சார்பாக படம் வெற்றியடைய வாழ்த்துகள்
62,கருத்த கேட்டு கேட்டு கறுத்து போனவர்கள்  சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
63,படம்  பார்த்து விட்டு கதறி அழுத ரசிகர்கள் சார்பாக  படம் வெற்றி பெற வாழ்த்துக்கள்
64,வாரிசு மற்றும் பிரின்ஸ் ரசிகர்கள் சார்பாக வாழ்த்துக்கள்
65,கருத்து கேட்டு கேட்டு கறுத்து போன ரசிகர்கள் சார்பாக வாழ்த்துக்கள்
66,ஆய் இருந்துகிட்டு கழுவவா துடைக்கவா நு குழம்பி போய் ரிவியூ பார்ப்பவர்கள் சார்பில் படம் வெற்றி பெற வாழ்த்துக்கள் 
67,பல்லு வெளக்கம வந்து ரெவிவ் பண்ணும் மாறன் சார்பாக படம் வெற்றிபெற வாழ்த்துக்கள் 
68,ரிவுயு பார்த்து காரி துப்பும் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
69,தலைவர் எப்படி சொன்னாலும் நல்லாத்தான் இருக்கு...
70,குளிக்க மா திரைவிமர்சனம் சொல்லும் மாறன் போல் குளிக்க மா  பார்க்கம் ரசிகர்கள் சார்பாக வாழ்த்துகள்
71,வாரிசு படம் படு மொக்கை என நினைத்து தேம்பி தேம்பி அழும் ரசிகர் சார்பாக படம் வெற்றி பெற வாழ்த்துககள்
72,ஈரோடு கிழக்கு தொகுதியில் போட்டியிட்டு நாம் தமிழர் கட்சி  சார்பாக படம் வெற்றியடைய வாழ்த்துகள்
73,டளபதி மீண்டும் மீண்டும் தாக்கப்பட்டார் 
74,புளூ சட்டை மாறன் ரசிகர் மன்றம் சார்பாக நல்வாழ்த்துக்கள்
75,எப்பொழுது சார் பகாசுரன் பட விமர்சனத்தை வீடியோ போடுவீங்க...காத்துட்டு இருக்கேன் பாஸ்
76,"ஓரளவுக்கு நல்லா இருக்குற வாத்திக்கே இந்த நிலமைனா....
பாகா சூரன் உயிரோட இருபன்ற.."
77,சிங்கப்பூர் வேலை செய்வோர் சார்பாக படம் வெற்றி பெற வாழ்த்துகள் ️
78,பாலிமர் பாரிதாபங்கள் கேட்டு அலுத்து போன ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
79,பள்ளிக்கூடத்திற்கு பிட்டு பட கேசட் கொண்டு வந்தவர்கள் சார்பாக வாழ்த்துகள்
80,இன்னும் பாக்ஸ் ஆபீஸ் கலக்சன் சொல்லாமல் இருக்கும் துணிவு படம் சார்பாக வீடியோ வெற்றி பெற வாழ்த்துக்கள் ‌
81,டிக்கெட் வாங்க காசு இல்லாமல் ரிவ்யூ பார்க்கும் சங்கம் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
82,ப்ளூ சட்டை மாரணை வெளுத்து வாங்கும்............. ரசிகர் சார்பாக படம் வெற்றி பெற வாழ்த்துகள் ..
83,பல்லு வெலக்காம ரிவியூ பாக்கும் ரசிகர்கள் சார்பா படம் வெற்றி பெற வாழ்த்துக்கள்
84,கருத்து கந்தசாமி சார்பாக படம் வெற்றியடைய வாழ்த்துகள்
85,கருத்து கேட்டு கருத்து போனவர்களின் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் 
86,இன்னும் வாரிசு துணிவு படம் பார்காத ரசிகர்களின் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
87,இயற்கை விவசாயி சார்பாக வாழ்த்துகள்
88,விமர்சகர்களின் வாத்தி ப்ளூ சட்டை ரசிகர்கள் சார்பாக வாத்தி படம் வெற்றியடைய வாழ்த்துகள்.
89,திரைக்கதை சுவாரஸ்யமாக இருந்தால் மட்டுமே படம் வெற்றி பெறும்
90,வாரிசு பொங்கல் துணிவு பொங்கல் என முட்டுக்கொடுத்து கூவி விற்றோர் ரசிகர்கள் சார்பாக வெற்றி பெற வாழ்த்துக்கள் 
91,பாகாசுரன் ரிவ்யூ பார்க்க வந்து ஏமாந்த ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
92,வாரிசு துணிவு தியேட்டரில் பாக்காம ஓடிடியில் பார்த்த ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
93,மரணமாஸ் மசாலா படம் பாஸ் 
94,"நல்ல வசன கர்தாவா வர வேண்டிய ப்ளூ சட்டை மாறன்...


சினிமா ல கூட, இந்த மாதிரி ரசிக்கும் படியானா வசனங்கள் வருவதில்லை...."
95,தனி ஒருவன் & ராட்சசன் மாரி ஒரு படம் வெனும்...
96,புளூ சட்ட தான் வாரறு ரீவ்வியு சொல்ல போறாறு அவ்வளவுதான் இந்த படத்தோட முடிவு...
97,2:48 என் மனசுல உள்ள பாறமே குறைஞ்சு பேச்சு 
98,பகாசூரன்
99,ப்ளூ சட்டை போடும் ரசிகர்கள் சார்பாக கழுத்தை வளைத்து பார்க்கும் துணி துவைக்கும் துணிவான வாழ்த்துக்கள் 
100,என் எதிர் வீட்டு ஆயா சுட்ட தீபாவளி அப்பம் சார்பாக.. இந்த படம் ஓட வாழ்த்துக்கள் 
101,தமிழ் நடிகர் + தெலுங்கு டைரக்டர் காம்போல வந்த முதல் ஹிட் 
102,பல்லு வெளக்காமல் ரிவ்யூ சொல்லும் புளு சட்டை சார்பாக வீடியோ வெற்றி பெற வாழ்த்துக்கள் 
103,நேத்தே டவுன்லோட் பண்ணிட்டு  பாக்காம ப்ளூ சட்ட ரிவ்யூ தேடி பாத்தா  காணோம்.. 
104,மோகன் ஜீ படத்தை ஒரு படமாவே தல மதிக்கிறது இல்ல அதனால தான் ரிவ்யூ போட மாட்டாரு
105,"கருத்து கேட்டு கேட்டு ப்ளுகலர் சட்டை, பச்சகலர் சட்டையாக வெளுத்து போச்சுமாறனுக்கு"
106,கதைய கேட்டுட்டு படம் பாக்காம இருப்பவங்க சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் 
107,படம் சூப்பர் யா
108,இவுங்க கருத்த கேட்டு கேட்டு கருத்து போயிட்டேன் பாருங்க 
109,புளு சட்ட தலைவா சூப்பர் எப்பவும் 
110,கருத்து கேட்டே கருத்துப்போயிட்டேன் 
111,இவங்க கருத்தைக் கேட்டு கேட்டு எப்படி கருத்து போய்ட்டாரு பாருங்க சூப்பர் ️
112,மோகன் ஜி படங்களை மட்டும் விமர்சனங்கள் செய்யாத மாறன் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
113,கதை பழசா இருந்தாலும் படம் வேறலெவலா தரமா இருக்கு.....
114,படம் நல்லா இருக்கு....
115,இறங்கி செய்ய காத்துக் கொண்டு இருக்கும் வாய்ஸ் ஓவர் மேனன் மாமா சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
116,5000 கோடி அடிக்க வந்து பேங்க் ஊழியர்களிடம் செம்ம அடி வாங்கிய ஆமைகள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் 
117,முதல் 45 செகண்ட் ஸ்கிப் பண்ணி ரிவ்யூ பார்க்கும் சங்கம்
118,ஆற்றில் குளிக்கும் போது குசு போடுபவர்கள் சார்பாக படம் வெற்றியடைய வாழ்த்துக்கள்
119,"வாத்தி படத்த 4:30 மணிக்கு ரிவ்யூ போட்டு உயிரெடுக்கும் ""மெண்டல் சட்டை""சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் "
120,இவிங்க கருத்த கேட்டு கேட்டு எப்புடி கறுத்து போயிட்டேன் பாரு செம நக்கல்
121,ஒருக்களிச்சு படுத்துகிட்டு பார்க்கிறவங்க சார்பா வாழ்த்துக்கள்
122,வேலுப்பிள்ளை பிரபாகரன் உயிருடன்  இருக்கிற.அவர் ஜட்டி போட்டுட்டு வந்தார்னா சிங்களவன்லாம் காலிடா......
123,படம் அருமை
124,"""வாந்தி ""ன்னு இந்த படத்துக்கு பெயர் வைத்திருக்கலாம்"
125,படம் பார்த்துட்டு வந்து என்ன என்னால்லாம் சொல்ரான்னு பார்க்க வந்தேன்
126,"கனி ஹீரோ வா இருந்தா சாட்டை... 
வில்லனா இருந்தா வாத்தி..."
127,வாரிசு படத்தை எய்யா ஞாபகப்படுத்துற ...!
128,விமல் நடிச்ச வாகை சூடவா படத்தை பார்த்த பின் இதை பார்க்கவும்..... 
129,பேச்சி வாக்குல வாரிச செஞ்ச பாத்தியா அங்க இருக்க தலைவா நீ...
130,என்னது வாரிசு இந்தி சீரியலா 
131,"ரம்மி சர்க்கிளில் ரூபாய் ""ஐந்து இலட்சம்"" வென்ற 'சுடலை கனி' சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் "
132,"பிரின்ஸ் வாரிசு….. வரிசையில் வாத்தி பரவாயில்லை.
புளு சட்டையை நம்பி ஏமாந்த மக்கள் சார்பாய் வாழ்த்துங்கள்."
133,பகாசுரன் ரிவ்யூ போடு தல
134,வா தல
135,கருத்து நல்ல இருக்கு
136,கருத்தை கேட்டு கருத்து போன ப்ளூ சட்டை 
137,வாரிசு 
138,கருத்து கேட்டு கேட்டு கருத்துப்போயிட்டேன் 
139,பகாசூரன் படம் எப்படி இருக்கு அண்ணா
140,படம் வெற்றி பெற  ‌ கருத்து சொல்லு ம்  மக்கள் சார்பாக வாழ்த்துக்கள்
141,"பச்ச சட்ட போட்டுனு இருக்குற இவர ஏன் ப்ளூ சட்ட னு சொல்றாங்க,  அதுக்கு இன்னும் கூட பதில் தெரியாம இருக்கும் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்"
142,கருத்து போயிட்டியா கருவா மூஞ்சி வாயா
143,"இன்னுமா பகாசூரன் மூவி பாக்கல?? மோகன்ஜி யோட மேகிங், ஸ்கிரீன் பிளே லாம் ஏப்டி நு உங்க வாயால சொல்லுங்களேன்"
144,இவரோட உருட்டை பாத்துட்டு ஞாயிற்றுக்கிழமை படத்துக்கு போலாம்னு நினைக்கிறவங்க எத்தனை பேரு
145,கருத்தைக் கேட்டு கேட்டு கருத்துப் போன ஒரே ரிவியூ மன்னன்.  கிரீன் சட்டை போட்டுகிட்டு ப்ளூ சட்டை காரன் என புழுகும் மாறன்.
146,முப்பது செகண்ட் வீடியோஸ் ஸ்கிப் பண்ணிட்டு பார்க்கும் ரசிகர்கள் ஒரு லைக் போடுங்க
147,"என்னது!!, கருத்து கேட்டு கேட்டு கறுத்து போய்ட்டீங்களா?. அப்போ கருத்து கேட்கலைனா, செக்க செவேள்னு சிவப்பா  இருந்திருப்பீங்களோ."
148,எது....நீங்க கருத்து கேட்டு கறுத்துப்போய்டிங்கிளா....
149,மாறன் அண்ணா எங்க பகாசூரன் படத்தின் விமர்சனம் வரவில்லை.
150,கருத்து போயிடாரம் செடி புணா 
151,ஏப்பா ப்ளூ சட்டை படத்தின் ரிவியூக்கு முன்னாடி போட்டியே ஸ்மைல் ட்ரிப்ஸ் அப்புறம் கார்டன் இந்த ரெண்டு விளம்பரத்தையும் ரிவியூ 10'15லச்சத்தை முதலீடு செய்து ஸ்மைல் ட்ரிப்ஸ் நல்லா ஓடுதா கார்டன்ல செடி நல்லா வளருதானு செக் பண்ணி ரிவியூ பண்ணா நல்லா இருக்கும்
152,சரக்கு அடித்து கொண்டு டைம் பாஸ்கூ ரிவிவ் பார்க்கும் குடிமகன் சார்பாக பாடம் தோல்வி அடையக்கூடாதுனு
153,மஹா பிரபு நீங்கள் திரும்பவும் வந்து விட்டிங்கிளா 
154,நீங்கள் ஏன் மோகன்ஜி படத்துக்கு மட்டும் ரிவ்யூ பண்றதில்லை..?
155,இவரு ரிவ்யூ பாத்துட்டு எந்த படத்தையும் பாக்காம உங்க என்டர்டெயின்மென்ட் ல நீங்களே மண் அள்ளி போட்டு கொள்பவர்கள் சார்பாக இந்த யூ ட்யூப் சேனல் வெற்றி பெற வாழ்த்துக்கள்.
156,அருமை
157,ஹிந்தி சீரியல் 
158,அண்ணன் படம் வெற்றியா தம்பி படம் வெற்றியா யார் படம் வெற்றியா என்று விமானம் பார்க்க வந்தவர்கள் ஒரு லைக் போடுங்க
159,அந்த காலத்து வாத்திகளுக்கு சரஸ்வதி மட்டுமே இருந்தது. இந்த காலத்து வாத்திகளுக்கு சரஸ்வதி எங்க இருக்கு மகாலட்சுமி மட்டுமே இருக்கு மேலும் இந்த காலத்து வாத்திகள் அரசு பள்ளிகளை விட்டு தனியார் பள்ளிகளுக்கு போவார்களா என்பது முதல் கேள்வி.
160,தண்ணீர் கிடைக்காமல் ஆழ் கழிவுவாமள்  திரியும் நான்பர்கள்  சார்பாக பெற வாழ்த்துக்கள்
161,செம்ம
162,கருத்துடீயே தலைவா
163,நீல சட்ட மஞ்ச சட்டக்கு ஒரு ரிவ்யூ போடு மஞ்ச= மோகன்
164,4:16 எதுக்கு.. 
165,தரம்யா 
166,கருத்த சட்டை 
167,அடுத்தவர் குறையை சொல்கிறாவனுக்கு ஆயிரம் குறை அவனுக்கு இருப்பது தெரியாது
168,கருத்துக்கேட்டே கருத்துப்போயிட்டேங்க/புளு சட்ட 
169,இப்ப ஏன் யா வாரிச இழுக்குற? 
170,யோவ் வாரிச இன்னும் விட்டு வைக்கலயா
171,விஜய் தாக்கப்பட்டார்... 
172,உங்கள் கருத்து கேட்டு நாங்கள் வெறுத்து போய்ட்டோம்
173,இவன் தான் இவனுக்கு இத வேல 
174,மோகனின் ஆட்டம்
175,இவன் சட்டை கலர் புளூவா ?? பச்சையா ?? என்ற கேள்விக்கு விடை தெரியாமல் குழம்புவோர் சங்கம் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
176,"வாய் இருந்து என்ன பயன் 
இனம் இனத்தோடு தானே சேறும்...."
177,"அது என்ன தல
தமிழ்நாடு எல்லை ஆந்திரா பார்டர்
தமிழ்நாடு பார்டர் ஆந்திரா எல்லை"
178,தலைவரே அப்படியே அந்த பகாசூரன் படத்தையும்
179,குறிப்பிட்ட நடிகர்கள் படத்திற்கு மட்டும் தான் விமர்சனம் பண்ணுவிங்களா ?
180,சட்ட கலரை மாத்துபா பாத்து பாத்து சலிச்சு போச்சு
181,அண்ணா தாக்க பட்டார்
182,மூனாவது சாட்டை
183,தலைவரே சத்ரிய மோகன் ஜீ படம் எடுத்தால் மட்டும் படம் பார்க்க மாட்டீங்களா...ஒரு படத்துக்கும் விமர்சனம் போடல எங்களை பார்த்தால் மனிதனாக தெரியவில்லையா தலைவரே...
184,சாட்டை 3
185,நறுமண குசு விடுவோர் சங்கம் சார்பாக வாழ்த்துக்கள்
186,கருத்த குட்டி மாரன் 
187,புளு ஜட்டி திருடும் குருமா பாய்ஸ் சார்பாக வாழ்த்துக்கள்
188,ப்ளூ சட்டை சவுக்கியமா?
189,பகாசூரன் ரிவியூ  ?
190,இன்றைய வருத்தல்
191,நீ எடுத்த படம் இத விட மோசம் தம்பி
192,பாட்டை மட்டும் வெச்சு இங்கு பல பாடங்களை ஓட வைக்கிறார்கள்...
193,வாத்தி படத்தை பத்தி பேசுனா  தளபதி படத்தை போ உன் கிட்ட யாராவது பின் ஏன் கேட்டாங்களா
194,எந்த மோகன் ஜி. படத்துக்கும் விமர்சனம் செய்யாத ப்ளூ சட்டை பகசூரனுக்காவது விமர்சனம் செய்வீங்களா?
195,படம் ஊத்திக்கிச்சினு  தெரிஞ்சும் ரிவ்யூ பாக்குறவங்க யாரு ? ️
196,யோவ் பகாசூரன எங்கயா டோமரு
197,"தலைவரே பகாசூரன் ஏன் விமர்சிக்கல இதுவர,  பயம் என்பது எங்கள் ப்ளூசட்டை மாறன் அகராதிலயே கெடயாதுனு என் நண்பர் சொன்னார் நேற்று"
198,பகாசூரன் விமர்சனம் ஏப்போ?
199,படத்த படமா எடுங்க.
200,வாரிசு தாக்கப்பட்டார்
201,மோகன் ஜி படங்களுக்கு விமர்சனம் செய்வதற்கு உங்களுக்கு பயமா...... தல
202,தான் குண்டில இருக்குற பீ ய களுவபாரு அதுக்கு அப்புறம் அடுத்தவன் குண்டிய பாக்கலாம்..... 
203,எந்த ஆங்கில்ல பாத்தாலும் இவரு போட்டுட்டு வர்ற சட்டை புளூ கலராவே தெரியல. அப்புறம் ஏன்யா புளூ சட்டை மாறன்னு பேர் வச்சு எங்களை குழப்புறீங்க?
204,ஒரு படத்தின் மொத்த கதையையும் சொல்லிட்டு. அதுக்கு அப்புறம் என்ன நடந்தது என்பதுதான் மீதி கதை என்று சொல்றிங்க அப்போ பணம் போட்டு படத்தை எடுத்தவங்க எவ்ளோ கஷ்டப்படுவாங்க. நாங்க படம் பாக்க போனா இதுதான் கதை என்று தெரிந்து சுவாரஷ்யம் இல்லாமல் இருக்கும் தயவு செய்து படத்தின் கதையை நீங்கள் சொல்ல வேண்டாம். அவங்க கோடில செலவு படம் எடுக்குறாங்க நீங்க 500 ரூபாய் சட்டையை மாட்டிக்குன்னு படத்தை வாயில ஓட்டுறீங்க.
205,ப்ளூ சட்டை மாறன் அவர்களே அனைத்து திரைப்படங்களுக்கும் விமர்சனம் சொல்லும் நீங்கள் மோகன் ஜி எடுக்கும் எந்த ஒரு படத்திற்கும் விமர்சனம் சொல்லவில்லை காரணம்.
206,இல்லனா நிங்க வெள்ள 
207,உங்களுக்கு ப்ளூ சட்டை மாறன் என்று பெயர் வைத்தது யார் நீங்கள் அணிந்து வருவது பச்சை சட்டை தானே
208,"ப்ளூ சட்டை இது வாத்தி படம் விமர்சனம்,வாரிசு பத்தி பேசப்பிடாது"
209,"அவளோட கருத்த கேட்டு , கருத்தே போயிட்டேண்"
210,ஆமா நீ எடுத்த படத்ததான் பாத்தோம்முல
211,"அண்ணே நீங்க லைக் வாங்குறதுக்கும், பேர் வாங்குறதுக்கும் எங்க தளபதி படத்தப்பத்திலா தப்பா சொல்லாதீங்க புறியுதா. உங்களதா ரொம்ப நாளா நேர்ல பாக்கனும்னு காத்துக்கிட்டு இருக்கேன். ரொம்ப ரொம்ப தப்புனே நீங்க பேசுறது சொல்லிட்டேன்."
212,பகாசுரன் பற்றி பேச மாட்டிங்கலா பயமா?
213,கருத்தை கேட்டு கேட்டு நீ கருப்பாவல காரி மூஞ்சி காரி மூஞ்சி நீ கருப்பா ஆயிட்ட...
214,உன்னோட நியூ கேட்டு கேட்டு ஒரு படம் கூட இதுவரை நான் பார்க்கல
215,ஐயா இந்த பகாசூரன் ரிவ்யூ
216,பகாசூரன்... விமர்சனம் வரவில்லையே திரு. மாறன் அவர்களே....
217,படம் பார்கவே பிடிக்காத சங்கம்
218,யோவ் ப்ளூ சட்டை திரௌபதி ருத்ரதாண்டவம் பகாசுரன் படத்துக்கு விமர்சனமே சொல்லல மோகன்ஜி  படத்த படமா கூட மதிக்க மாட்டேங்கிறாயா
219,காங்கிரசுக்கு ஆதரவாக பிரச்சாரம் செய்ய இருக்கும் கமலஹாசன் சார்பாக வாத்தி படம் வெற்றி பெற வாழ்த்துக்கள் 
220,கருத்த மச்சான்... கஞ்சத்தனம் எதுக்கு வச்சான்...
