Tweet,Date of Tweet,Topic,Parent Tweet
SS eduthu podra alavuku avaru Mela Enna gaandu?? Don't involve ur personal issues in this kind of social issues ,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
It's not fair bro.. if u don't like him just ignore it...,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Thevai illadhe tweet.. Rj balaji ku csk pidijirkuna adhu avan personal.. Neenka adha nondi unka image kedudhu venam,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"Itisprashanth neeyellan ethuku uyir vaalra. Aduthavanga moothratha kuduchu valrathuku saavalam. If u want to tell something just tell. I had a respect on u . But u r totally going after fame and grudge. Go and fuck urself, just a utter crap u are. Waste of birth....","May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"Itisprashanth neeyellan ethuku uyir vaalra. Aduthavanga moothratha kuduchu valrathuku saavalam. If u want to tell something just tell. I had a respect on u . But u r totally going after fame and grudge. Go and fuck urself, just a utter crap u are. Waste of birth..","May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
taking screenshot of people who post about csk and tweeting it. does that mean they dont care about #SterliteProtest ??,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Deiii IAMK paathutu 70 kuduthuven thaana da neee ! Periya olungu maari mathavangala pesura,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"Moodi2 po..it's his right to watch cricket..shut up and do your work...when you have rights to talk about others film, why not he? Stupid. Nonsense.","May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Prashanth don't take cheap shots. Everyone feels for sterlite issue at the same time every one continues with their day to day life. I have respect for your reviews and content don't use that trust for your own hunger.,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"But.. Friday two or more movies release aagum

 Appo nenga .. review panna ah irupangala... Sollunga... 
@itisprashanth
  @RJ_Balaji","May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
வேரறுக்க படவேண்டிய விஷம்.,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Ni yen da aven suutha nondra? Panda,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Dei asingama kepen avan commentry velaya avan paakaraan Ni mattum unnoda review velaya paakara la idhe avar panna thappa?,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"உன்னால என்ன புடுங்க புடியுமோ அத மட்டும் புடிங்கு,அடத்தவன் என்ன பண்ணனும்னு  சொல்ற தகுதி உனக்கு கிடையாது ,உனக்கு மட்டும் தான் அக்கறை இருக்கு மத்தவலாம் என்ன சொம்பையா,நீ சரியான sadist போல , எப்ப பாரு எவணயாச்சும் குறை சொல்லிகிட்டு திறியரது,iamk க்கு 70 மார்க் குடுத்த சமூக பொறுப்பாளரே.","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Iamk for money,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
ஒத்தா இது என்ன மயிருடா நீங்க ரெண்டு பேரும் ஒன்னு தான் அவனாவது ஊருக்கு உபயம ஒரு விஷயமவது பன்னிருக்க நீ எப்படி சந்தர்ப்பம் கிடைக்கும் நல்லவன் வேஷம் போடலாம்னு திரியுற எச்ச,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Did not expect this tweet from you . Will you stop reviewing movies till sterlite is banned??,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"So u r not going to do review until all problem solved???? 
@itisprashanth","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"Othaa Kena punda adha Ni sollatha , punda movane , aprm Ena pundaiku da IPL venue mathuna apram padam punda paakura , CMB vanthuducha ootha oodi poitu , panam aripetuthavane","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"#male prostitute 
@itisprashanth","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Dai mutta bonda... panda... Ivaru vandhutaaru solrathukku...neeye inneram padam release aachuna review thanda poturpa...avan Tamil ipl commentary la irukaan poda dhaan seivaan about cricket... Unakku tn mela akkara la kedaiyadhu..rj balaji mela gaadu..Mutta bonda..odu da apdi,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Wat is u r motive Prashanth is to degrade some one will you be able to ask  6.8 million people who watched the match in hotstar.  I appreciate you concern towards people  but don't try pull someone down and you to be in the limelight. Do good things in silence eg Rajini Vijay etc,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Ivanuku tamilnadu makkal mealam Akarai illa Rj Balaji  meala Gaandu Adaan ipadilam post podran publicity paithiyam Non of ur BussiNesssss,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Aduthavan Thaki pesi valathinga... Unaku Ena thonuthuo solitu poo,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Inaiku Friday va irndha Aatikitu poi Review panirpa. Neeyelamm pesalama.,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"You all asking questions who are not in part of the political parties. If u all have guts Pls ask those first. What he do it's really bad but asking question to them is totally wrong 
@RJ_Balaji
 .  It's part of his work. If u feel don't give any movie review today? Let's see","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Dai fb la oru post pota ena da thapu ne pasatha da nayee Na unaku contact pana try pana ne oru reply paniya pani payalee,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
அவ்வளவு கோபம் வருமாயின் நீங்கள் இவ்வளவு மானமுள்ள மனிதன் என்பதாலும் உங்கள் விமர்சன தொழிலில் கொஞ்ச நாள் வரை மாட்டீர்கள் என நம்புகிறேன்.. அடுத்தவரை குறை கூற நம்மை நாமே சிந்திக்க வேண்டும் நண்பரே..,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"Same game mental 
@sri50","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
You are a senseless moron..you protested against IPL for cauvery...and did you get water??thwu...ithukku peru .....,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
If you have a spine then stop reviewing untill all problems are sort out,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Ne match pakkale,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Nee eruma maadu,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"Dai poramboku he critizise you to one member only , that too not in social media , but you , coward","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
டேய் பாண்டா .. நாளை மறுநாள் புது படத்துக்கு சோம்படிக்க போட்டுவ.. நீ அடுத்தவன குறை சொல்ற..,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"@RJ_Balaji
 mela apdi ena gandu ungaluku mr.panda 
@itisprashanth","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Athu ellam avangaloda thanipattu viruppam avangala nee onnum solla kudathu,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
What's Ur problem......if a movie releases today means u will review it or not? If u do u say it as Ur professiona at dat time Ur right.....if d same done by him means he s wrong.....what logic is diz.... selfish giant,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"Enn neemattum ipdi irukae loosu-avarae avar thozhilae paakuraru by hosting 
@IPL
 Appo jeichadhae kudava share pannakudadhu Unn Mela irundhae Mariyadhae kudae veruppa maarudhu Ippo","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Nee periya olunga da,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"Brother it’s for you  First post is for personal though and second is his profession ji. And neeinga ithuku govt solution thara varaiyum neeinga video poda mateingala? Don’t criticise other just give support for #BanSterilte brother sorry if I said wrongly 
@RJ_Balaji","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"Naa solradha epd  nee kandukka maatiyo,adhe dhan nee solradha avaru kandukka maataru..Nee periya mayiruna nerla poi support pannuda..Twitterla 4 tweet potu tamilan nu solluva.Apram poi murukka marketing pannuva,apo unaku money theva iliya??","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
கண்ணாடிய பாத்து பேசுற மாதிரி ஒரு பீலிங் ....,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"The so called very honest, 'for the people' Prashanth. He has done far great contribution to the society far more than you. He has done his data research and doesn't mislead people unlike you.","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"Dae panda nayae ! 
@RJ_Balaji
 una block pana udanae jalikatuu madu for money nu solriyae da  seri apoo TN ku solution vara varaikum no review pana ma iru ","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
He is acting and you speak about it for YouTube ads n product endorsement. Atleast he came out and helped people during calamities. He is a people's voice. Social cause and personal finance are different!,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
unga mudhugule irukura aluke frst sorandunga apm aduthavan mudhuguku pogalam..  suma save thoothukudi nu hastag potuta pothuma... ponga sir ponga...  aduthavan ena panran nu pakurathe vitutu nammanale ena pana mudium nu parunga..,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Nee ithula oru velamparam theda paakura....,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Dude are you seriously mentally ill or something....even if you actually fight for the cause it looks like you are faking it big time. I appreciate your interest in this issue and your efforts to create awareness but  criticising everyone who supports a cricket team is stupid,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Un review pakkuromnu unaku thimira enda poi balaji profile page check pannuda karadi,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Intha tweet potathu yaaru,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Correct bro,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Cricket paakarthu avangaloda thanipatta virupam... Avar csk ku tweet pottalum Tamil naattukum potrukaru... Sterlite vechi ellarudaiya tweet screen shot vechi ungala mathri publicity thedala... Sunny leoneku thanga thalaivinu tweet podumbothu unarchilam enga pochi ungaluku... ,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
#sports is different politics is different RJ balaji is not a priest or politician there if you don't like him call him vandi vandi ya thittu don't encourage violence against him .,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"Review pannurathu unga job 
Commentating pannu rathu avar job","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Nee moodra jaldra,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
reviewing unga work.. athey mari ippo commentary avaru work so atha pathi tweet poduraru.. ithula ungaluku enna kastam??,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"Kaasu ka dhan review podura 
Ana 
@RJ_Balaji
 pota thappa ah?","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"Just stop being absurd. Before jallikattu itself 
@RJ_Balaji
 anna had done so many deeds tat were worth applauding! I appreciate your intent but don’t degrade others’. This effort of yours will be called a publicity stunt as well in the near future! Better don’t degrade yourself","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Miss Miss avana parunga miss.,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Your Tweets and The comments are very Funny. Ungaluku Padam Entainment wenum Cricket entatinement wanam. Very good .Kindly make Strike again for this current Issue. . Semma comedy,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Spineless sh#t eating moron,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Y ur behind him.,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
நீங்க எல்லாரையும் குறை சொல்லறதா விட்டுவிட்டு வேலைய பாருங்க,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Aduthavanga Enna pandranga nu paathu kora Kandu pudikuratha vittutu unnaala Enna mudiyudho atha Pannu intha tamilnaduku,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
he is a cheap crap who runs for money and plays with peoples emotions,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"echa 
@itisprashanth
 .....inthuvea inniki oru mv Release aagirutha atha atha review panni irupala naiyeaa..athula munnadi 2 ad vera ....Nalikea ithalam veachi YT la oru video poduva kaga ..appo athu pearu ena da. .. Publicity Stunts....","May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Yen pa andha aalaye target panra.....,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"This is not gud on yr part bro ! That's his profession ! 
@RJ_Balaji
  too raised his voice for the bad incidents happened tdy","May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
ஜல்லிக்கட்டு போராட்டத்தின் இறுதி நாள் கலவரத்திலே இவன் யாரென்று தெரிந்துவிட்டது,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Why your personal fight showing here... Hope it's not for fame.. If you keep bullying the people they only become more and more popular ,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Don't be personal. he has his view u have urs. Don't be a troll,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Don't use those tags to show ur vengeance on him bro plz,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Ungal karuthu thavaru.. avar recent ellam Tamil prachani Kum support pannitu irukaru..,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"Adhuthan #SterliteProtest a fringe nu sollitane 
only tamilans united in words nt by feelings...this man well proved if it's comes to their personal life they'll abandon their own ppl.for money
Politicans or media celebrities all r same...
Fakes","May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Daai pothumda CSK support panrathu Oru thappa?,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"Pls don’t follow him, he is guiding wrong way just ignore","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Bro aven oru comedy bees..,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"muditu kilmbunga
Avra pathi yngaluku theriym
Ithulm oru status nu podringa vedkama ila..
Unglkula sandana vera yngyum katunga","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Lai..... Panda..... Unnakku Veara vealaiea ellaiya..... Aduthavan ------------( dash)  aaeaa.....nondikkittu errukka..... ,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Unga personal problem idhuku use pannuradhu romba asigama iruku,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"Ngotha same you said ipl should be banned cauvery management board should be made but before that you reviewed some echa movies neeyum kaasuku pee dhana thingira apram ena uthama 
@HRajaBJP
  madhiri pesra","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Why you always Target RJ Balaji... Stomach burning ah? Yen ippadi silra thanama nadanthukura.... be matured....,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Dae nii Friday vantha padathuku poii review podralaa apaa athaa pannatha sumaa epaa paruu rj balajiyavae slitu karumoo,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"Dei nee moodra!!. RjB 
@RJ_Balaji
 antha stadium la erukaaru , ipl pathi podaama verra enna poduvaaaru , nee vena talent erundha poi pesu da thandam ","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Yechaa velaiya pakathigaa Da .. unmaiya kural kudukanum na Kalathuku vaa ilaa pothitu veetla ukaru ..,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"oo***tha yen yeppaum avandha oomu**ra...
tweeting and speaking can't win the problems in TN like u.. firstu undhu kaluvu","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Dai asingama edhavathu thitira poaran pesama poiru..,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
vidupa summa yelaraiyum kora solikitu,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"u also same bro.. Ippo sterlite pblm vachi, 
@RJ_Balaji
 ah pali vanga pakkuringa..","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Dai paanda.. unaku engada arikuthu..,"May 24, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
We would like to hear this from Modi Ji.,"Jan 10, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil
@ you are telling lie,"Jan 10, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil
don't cheat Tamil peoples,"Jan 10, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil
"@Swamy39
 @the_hindu
 if no #jallikattu ordinance in nxt 2 days.No Bjp r  in TN for next decade remv this usless as TN head 
@drtamilisaibjp","Jan 10, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil
வரவேற்போம்,"Jan 10, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil
mam நீங்க ஏதோ எதிர் கட்சி தலைவர் போல பேசுறிங்க... மத்தியில் ஆளும் கட்சி.. Same you #WeDoJallikattu #banpeta #BanBJPinTN ,"Jan 10, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil
"@BJP4TamilNadu
 kindly mention what type of support you give to our #Jallikattu people#WeDoJallikattu 
@skycinemas
 #BanBJPinTN","Jan 11, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil
Then Bjp cannot win even single seat in Tamilnadu,"Jan 11, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil
BJP to solve critical issues of ppl of TN!Mere talking won't help Madam!BJPcan't be alternative power without Contributions!,"Jan 11, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil
ஹும்.. போன வருஷமும் இப்படித்தான் சொன்னாங்க,"Jan 11, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil
"செம காமெடி..
உங்க சப்போர்ட் யாருக்கு வேணும்?","Jan 11, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil
are you ready to be a chief guest for that event?,"Jan 12, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil
wish yoi happy pongal by kattunayakan tribals association vellore dist,"Jan 14, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil
ekka enga ekka pona unga thaliviru ippadi sollittaru nee Ethum sollaye innum,"Jan 20, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil
we are ready to fight central government Next step is for farmers will announce the plan tomm evening  ...,"Jan 21, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil
Neenga support lam panna venam.. Media la unga moonja kaatama irundhalay podhum.. # Enaku Aathirangal varudhu makkalay :/,"Jan 21, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil
"Mam please clear  that  central government is not against Jallikatu,","Jan 21, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil
"you are "" A THIRD OF RATED SLUT""..... if you have guts touch me...","Jan 22, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil
"madam neenga modi ku jalra podratha nipatunga....Ungalal than tamilandu BJP kai asingam

.","Jan 22, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil
Then why Mam tamilnadu bjp not raising voice for #AmendPCAactsoon  or #BanPeta,"Jan 22, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil
"@drtamilisaibjp
 ,,இது என்னங்க. மேடம்....எப்படிதா அசராம பொய் சொல்றிங்களோ தெர்ல","Jan 23, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil
@drtamilisaibjp,"Jan 23, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil
both are bad administrator. forgot our Indian culture,"Jan 22, 2017",Jalikattu,#Jalikattu a symbol of Tamil tradition n culture protected by a combined effort of Pm @narendramodi govt n TN govt! 🙏🏻
"with all due respect to 
@narendramodi
 ji it would've been left to the SC and in the back burner if not for the protests of TN ppl","Jan 22, 2017",Jalikattu,#Jalikattu a symbol of Tamil tradition n culture protected by a combined effort of Pm @narendramodi govt n TN govt! 🙏🏻
...no credit to the lakhs of youth on the streets? ??,"Jan 22, 2017",Jalikattu,#Jalikattu a symbol of Tamil tradition n culture protected by a combined effort of Pm @narendramodi govt n TN govt! 🙏🏻
Very irrational customs and traditions !!,"Jan 22, 2017",Jalikattu,#Jalikattu a symbol of Tamil tradition n culture protected by a combined effort of Pm @narendramodi govt n TN govt! 🙏🏻
"@rajeev_mp
 !! You keep tweet account active!! Because you can post the same for #Kambala !!No initiative taken by KA political Parties!!","Jan 22, 2017",Jalikattu,#Jalikattu a symbol of Tamil tradition n culture protected by a combined effort of Pm @narendramodi govt n TN govt! 🙏🏻
"eagerly waiting for 
@republic
 :) 
@sameer_polonium
 @narendramodi","Jan 22, 2017",Jalikattu,#Jalikattu a symbol of Tamil tradition n culture protected by a combined effort of Pm @narendramodi govt n TN govt! 🙏🏻
: it just took baby steps y'day. Killed 3 :(,"Jan 23, 2017",Jalikattu,#Jalikattu a symbol of Tamil tradition n culture protected by a combined effort of Pm @narendramodi govt n TN govt! 🙏🏻
