Tweet,Date of Tweet,Topic,Parent Tweet,Language
Spineless sh#t eating moron,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Y ur behind him.,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
நீங்க எல்லாரையும் குறை சொல்லறதா விட்டுவிட்டு வேலைய பாருங்க,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",TAMIL
Aduthavanga Enna pandranga nu paathu kora Kandu pudikuratha vittutu unnaala Enna mudiyudho atha Pannu intha tamilnaduku,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
he is a cheap crap who runs for money and plays with peoples emotions,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
"echa 
@USER_65
 .....inthuvea inniki oru mv Release aagirutha atha atha review panni irupala naiyeaa..athula munnadi 2 ad vera ....Nalikea ithalam veachi YT la oru video poduva kaga ..appo athu pearu ena da. .. Publicity Stunts....","May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Yen pa andha aalaye target panra.....,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
"This is not gud on yr part bro ! That's his profession ! 
@USER_32
  too raised his voice for the bad incidents happened tdy","May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
ஜல்லிக்கட்டு போராட்டத்தின் இறுதி நாள் கலவரத்திலே இவன் யாரென்று தெரிந்துவிட்டது,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",TAMIL
Why your personal fight showing here... Hope it's not for fame.. If you keep bullying the people they only become more and more popular ,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
Don't be personal. he has his view u have urs. Don't be a troll,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
Don't use those tags to show ur vengeance on him bro plz,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
Ungal karuthu thavaru.. avar recent ellam Tamil prachani Kum support pannitu irukaru..,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
"Adhuthan #SterliteProtest a fringe nu sollitane 
only tamilans united in words nt by feelings...this man well proved if it's comes to their personal life they'll abandon their own ppl.for money
Politicans or media celebrities all r same...
Fakes","May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
Daai pothumda CSK support panrathu Oru thappa?,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
"Pls don’t follow him, he is guiding wrong way just ignore","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
Bro aven oru comedy bees..,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
"muditu kilmbunga
Avra pathi yngaluku theriym
Ithulm oru status nu podringa vedkama ila..
Unglkula sandana vera yngyum katunga","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Lai..... Panda..... Unnakku Veara vealaiea ellaiya..... Aduthavan ------------( dash)  aaeaa.....nondikkittu errukka..... ,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Unga personal problem idhuku use pannuradhu romba asigama iruku,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
"Ngotha same you said ipl should be banned cauvery management board should be made but before that you reviewed some echa movies neeyum kaasuku pee dhana thingira apram ena uthama 
@USER_17
  madhiri pesra","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
Why you always Target RJ Balaji... Stomach burning ah? Yen ippadi silra thanama nadanthukura.... be matured....,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
Dae nii Friday vantha padathuku poii review podralaa apaa athaa pannatha sumaa epaa paruu rj balajiyavae slitu karumoo,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
"Dei nee moodra!!. RjB 
@USER_32
 antha stadium la erukaaru , ipl pathi podaama verra enna poduvaaaru , nee vena talent erundha poi pesu da thandam ","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Yechaa velaiya pakathigaa Da .. unmaiya kural kudukanum na Kalathuku vaa ilaa pothitu veetla ukaru ..,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
"oo***tha yen yeppaum avandha oomu**ra...
tweeting and speaking can't win the problems in TN like u.. firstu undhu kaluvu","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
Dai asingama edhavathu thitira poaran pesama poiru..,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
vidupa summa yelaraiyum kora solikitu,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
"u also same bro.. Ippo sterlite pblm vachi, 
@USER_32
 ah pali vanga pakkuringa..","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Dai paanda.. unaku engada arikuthu..,"May 24, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
We would like to hear this from Modi Ji.,"Jan 10, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil,ENGLISH
@ you are telling lie,"Jan 10, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil,CODE-MIXED
don't cheat Tamil peoples,"Jan 10, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil,ENGLISH
"@USER_42
 @USER_96
 if no #jallikattu ordinance in nxt 2 days.No Bjp r  in TN for next decade remv this usless as TN head 
@USER_61","Jan 10, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil,ENGLISH
வரவேற்போம்,"Jan 10, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil,TAMIL
mam நீங்க ஏதோ எதிர் கட்சி தலைவர் போல பேசுறிங்க... மத்தியில் ஆளும் கட்சி.. Same you #WeDoJallikattu #banpeta #BanBJPinTN ,"Jan 10, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil,CODE-MIXED
"@USER_5
 kindly mention what type of support you give to our #Jallikattu people#WeDoJallikattu 
@USER_91
 #BanBJPinTN","Jan 11, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil,ENGLISH
Then Bjp cannot win even single seat in Tamilnadu,"Jan 11, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil,ENGLISH
BJP to solve critical issues of ppl of TN!Mere talking won't help Madam!BJPcan't be alternative power without Contributions!,"Jan 11, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil,ENGLISH
ஹும்.. போன வருஷமும் இப்படித்தான் சொன்னாங்க,"Jan 11, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil,TAMIL
"செம காமெடி..
உங்க சப்போர்ட் யாருக்கு வேணும்?","Jan 11, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil,TAMIL
are you ready to be a chief guest for that event?,"Jan 12, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil,ENGLISH
wish yoi happy pongal by kattunayakan tribals association vellore dist,"Jan 14, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil,ENGLISH
ekka enga ekka pona unga thaliviru ippadi sollittaru nee Ethum sollaye innum,"Jan 20, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil,CODE-MIXED
we are ready to fight central government Next step is for farmers will announce the plan tomm evening  ...,"Jan 21, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil,ENGLISH
Neenga support lam panna venam.. Media la unga moonja kaatama irundhalay podhum.. # Enaku Aathirangal varudhu makkalay :/,"Jan 21, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil,CODE-MIXED
"Mam please clear  that  central government is not against Jallikatu,","Jan 21, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil,ENGLISH
"you are "" A THIRD OF RATED SLUT""..... if you have guts touch me...","Jan 22, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil,ENGLISH
"madam neenga modi ku jalra podratha nipatunga....Ungalal than tamilandu BJP kai asingam

.","Jan 22, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil,CODE-MIXED
Then why Mam tamilnadu bjp not raising voice for #AmendPCAactsoon  or #BanPeta,"Jan 22, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil,ENGLISH
"@USER_61
 ,,இது என்னங்க. மேடம்....எப்படிதா அசராம பொய் சொல்றிங்களோ தெர்ல","Jan 23, 2017",Jalikattu,BJP will support public to conduct Jalikattu - Tamilisai Soundararajan - News7 Tamil,TAMIL
